Run,Beta1,Overlap,Blocksize,Checkpoint,Mean,Median,Std
experimental_run_50,0.5,0,2048,thermalizing_after_loops,4286.926705123855,4286.926705123855,
experimental_run_50,0.5,0,2048,thermalizing_between_loops,15025.203936206311,15025.203936206311,
experimental_run_50,0.5,10,256,Annealing_in_blocks,29782.944596443227,29782.944596443227,
experimental_run_50,0.5,10,256,collapsing outliers,859.7722298221614,859.7722298221614,
experimental_run_50,0.5,10,256,eliminating insignificant (purge),122648.45383036936,122648.45383036936,
experimental_run_50,0.5,10,256,final time and size,370658.597127223,370658.597127223,
experimental_run_50,0.5,10,256,further cooling,59531.32352941176,59531.32352941176,
experimental_run_50,0.5,10,256,global Annealing,41009.15389876881,41009.15389876881,
experimental_run_50,0.5,10,256,some more cooling,8217.832421340629,8217.832421340629,
experimental_run_50,0.5,10,256,thermalizing_after_loops,4730.981532147743,4730.981532147743,
experimental_run_50,0.5,10,256,thermalizing_between_loops,42660.67168262654,42660.67168262654,
experimental_run_50,0.5,10,512,Annealing_in_blocks,48206.85187736824,48206.85187736824,
experimental_run_50,0.5,10,512,collapsing outliers,864.6024801929038,864.6024801929038,
experimental_run_50,0.5,10,512,eliminating insignificant (purge),134418.29555632104,134418.29555632104,
experimental_run_50,0.5,10,512,final time and size,409410.45056837756,409410.45056837756,
experimental_run_50,0.5,10,512,further cooling,67814.99138821909,67814.99138821909,
experimental_run_50,0.5,10,512,global Annealing,45896.56872201171,45896.56872201171,
experimental_run_50,0.5,10,512,some more cooling,8639.59145711333,8639.59145711333,
experimental_run_50,0.5,10,512,thermalizing_after_loops,4957.368928694454,4957.368928694454,
experimental_run_50,0.5,10,512,thermalizing_between_loops,32809.11436445057,32809.11436445057,
experimental_run_50,0.5,10,1024,Annealing_in_blocks,78117.22031039136,78117.22031039136,
experimental_run_50,0.5,10,1024,collapsing outliers,778.2473009446694,778.2473009446694,
experimental_run_50,0.5,10,1024,eliminating insignificant (purge),135417.69197031038,135417.69197031038,
experimental_run_50,0.5,10,1024,final time and size,433982.33569500677,433982.33569500677,
experimental_run_50,0.5,10,1024,further cooling,73360.95580296897,73360.95580296897,
experimental_run_50,0.5,10,1024,global Annealing,48018.31882591093,48018.31882591093,
experimental_run_50,0.5,10,1024,some more cooling,8313.18758434548,8313.18758434548,
experimental_run_50,0.5,10,1024,thermalizing_after_loops,4766.494601889339,4766.494601889339,
experimental_run_50,0.5,10,1024,thermalizing_between_loops,20763.509784075573,20763.509784075573,
experimental_run_50,0.5,10,2048,Annealing_in_blocks,140314.27170198222,140314.27170198222,
experimental_run_50,0.5,10,2048,collapsing outliers,751.4863294600136,751.4863294600136,
experimental_run_50,0.5,10,2048,eliminating insignificant (purge),137140.5871496924,137140.5871496924,
experimental_run_50,0.5,10,2048,final time and size,509521.47949419,509521.47949419,
experimental_run_50,0.5,10,2048,further cooling,84964.16951469584,84964.16951469584,
experimental_run_50,0.5,10,2048,global Annealing,50892.56596035543,50892.56596035543,
experimental_run_50,0.5,10,2048,some more cooling,8673.69104579631,8673.69104579631,
experimental_run_50,0.5,10,2048,thermalizing_after_loops,4718.842447026657,4718.842447026657,
experimental_run_50,0.5,10,2048,thermalizing_between_loops,15503.931647300069,15503.931647300069,
experimental_run_50,0.5,20,256,Annealing_in_blocks,36535.42658055745,36535.42658055745,
experimental_run_50,0.5,20,256,collapsing outliers,1017.5720598232494,1017.5720598232494,
experimental_run_50,0.5,20,256,eliminating insignificant (purge),156173.57341944255,156173.57341944255,
